answerKey,id,A,B,C,D,stem,Grade,subject,category
A,MEA_2010_8_8,The mug moves forward.,The mug moves backward.,The mug moves side to side.,The mug stays in the same position.,"A teacher leaves a coffee mug on top of a car, as shown in the diagram below. {img:images/StatesDMC-DA/MEA/8thGr/MEA_8_2010_3.png} The teacher drives the car in a straight line and then stops suddenly. What happens to the coffee mug when the car stops?",8,,Test
C,MEA_2011_8_1,60 N,100 N,140 N,4000 N,The diagram below shows two students pushing a heavy crate across a floor. {img:images/StatesDMC-DA/MEA/8thGr/MEA_8_2011_1.png} One student pushes with a force of 40 N and the other student pushes with a force of 100 N. What is the resulting force from the two students pushing the crate?,8,,Test
A,MEA_2011_8_11,collecting food,excreting wastes,making food,destroying wastes,The diagram below shows an amoeba performing a function necessary for life. {img:images/StatesDMC-DA/MEA/8thGr/MEA_8_2011_10.png} Which function is shown in the diagram?,8,,Test
D,MEA_2011_8_14,latitude and longitude,altitude and longitude,latitude and proximity to large bodies of water,altitude and proximity to large bodies of water,"The map of the United States below shows the locations of Missoula, MT, and Cape Elizabeth, ME. {img:images/StatesDMC-DA/MEA/8thGr/MEA_8_2011_12.png} What factors make the climates different at these two locations?",8,,Test
C,MEA_2011_8_20,,Object 2,Object 3,Object 4,"The table below shows some information about objects found in our solar system. {img:images/StatesDMC-DA/MEA/8thGr/MEA_8_2011_15.png} Based on the information, which object is most likely an asteroid? A. Object",8,,Test
C,MEA_2011_8_5,The water evaporates into the air because of the position of the rocks.,The water soaks into the ground beneath the rocks.,The water changes the shape of the rocks.,The water floods over its banks because of the mass of the rocks.,The picture below shows a stream flowing over rocks. {img:images/StatesDMC-DA/MEA/8thGr/MEA_8_2011_3.png} How do the water and rocks interact?,8,,Test
C,MEA_2011_8_6,light waves,heat energy,an electrical current near the compass,a gravitational force near the compass,The picture below shows a compass. {img:images/StatesDMC-DA/MEA/8thGr/MEA_8_2011_4.png} The needle of the compass is pointing toward the magnetic north pole of Earth. What would cause the needle of the compass to point toward the east?,8,,Test
A,MEAP_2004_8_44,1,2,3,4,Study the map below and answer the question. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2004_3.png} Which area indicated on the map would most likely have the largest buildup of silt?,8,,Test
C,MEAP_2004_8_5,parasitic,competitive,predator-prey,invertebrate-vertebrate,{img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2004_1.png}The Venus flytrap is a plant that both produces its own food through photosynthesis and obtains nutrients by consuming insects. Which of the following best describes the relationship between the Venus flytrap and the fly?,8,,Test
B,MEAP_2005_8_22,gravity and pressure,a decrease in rainfall,breakdown by lichen,erosion by wind and water,"Sawmill River flows through a little valley near Jocelyn's house. For years, the valley has been a natural habitat for wildlife. Other than a footpath along the river, there have been few signs of human disturbance surrounding the ecosystem. This year, the river has flooded more than usual. In places, the banks have been washed out, the water appears muddy, and several trees have fallen into the water. Jocelyn suspects that recent construction of a mall and huge parking lots is affecting the river. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005_6.png} Jocelyn noticed that a great deal of sediment had accumulated on the curves of the creek since her visit last year. Which of the following does NOT contribute to the wearing down of rocks to form sediment?",8,,Test
B,MEAP_2005_8_23,flat.,hilly.,very steep.,mountainous.,"Use the information below to answer the question. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005_7.png} The topographic map above shows West Bath, Maine, and surrounding areas. West Bath is only a few miles to the north of the Atlantic Ocean. You could travel to the ocean by going south on the New Meadows River. If you were to drive along Berry Mill Road, located in the northern part of the map, you would find the local topography to be",8,,Test
B,MEAP_2005_8_24,flat.,sloped.,wooded.,farmland.,"Use the information below to answer the question. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005_7.png} The topographic map above shows West Bath, Maine, and surrounding areas. West Bath is only a few miles to the north of the Atlantic Ocean. You could travel to the ocean by going south on the New Meadows River. The town of Winnegance is located in the northeast corner of the map. Based on the map, the riverbank near the town appears to be",8,,Test
C,MEAP_2005_8_25,Mill Cove.,Campbell Pond.,Winnegance Bay.,Winnegance Creek.,"Use the information below to answer the question. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005_7.png} The topographic map above shows West Bath, Maine, and surrounding areas. West Bath is only a few miles to the north of the Atlantic Ocean. You could travel to the ocean by going south on the New Meadows River. Agricultural runoff from the elevations around Elbow Hill would most likely flow into",8,,Test
A,MEAP_2005_8_32,acquired characteristics are not inherited.,inherited characteristics are not acquired.,tails in mice are neither acquired nor inherited from their parents.,inheritance of tails in mice is determined by environmental factors.,"In 1889, biologist August Weismann attempted to breed a strain of mice with no tails. He did this by removing the tails of the parent mice and then observing the offspring from the tailless parents. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005_8.png} He repeated this procedure 22 times, and each time, all of the offspring were born with tails, supporting the theory that",8,,Test
A,MEAP_2005_8_4,The oil is less dense than the vinegar.,The vinegar is a liquid and the oil is a solid.,The vinegar was poured in first and stays on the bottom.,The volume of the oil is less than the volume of the vinegar.,{img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005_3.png} A student pours vinegar and oil into the same bottle. The two substances separate and the oil floats on top of the vinegar. What causes this separation?,8,,Test
C,MEAP_2005_8_44,lever,screw,pulley,wedge,{img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005_11.png} Which of these simple machines is shown in the picture above?,8,,Test
C,MEAP_2005-W_8_34,Only his speed will change.,Only his direction will change.,His speed and direction will change.,He will maintain a constant speed and direction.,Use the information below to answer the question. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005-W_2.png} Emmett has entered a ski competition held on Big Powderhorn Mountain. He must ski around four markers and cross a finish line at the bottom of the slope. He hopes to beat the record time on this course of 1 minute and 13 seconds (1:13). Which of the following changes will happen as Emmett rounds marker A?,8,,Test
C,MEAP_2005-W_8_35,liters,grams,meters,centimeters,Use the information below to answer the question. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005-W_2.png} Emmett has entered a ski competition held on Big Powderhorn Mountain. He must ski around four markers and cross a finish line at the bottom of the slope. He hopes to beat the record time on this course of 1 minute and 13 seconds (1:13). Emmett asks the manager at the ski resort about the length of the course. Which of the following units is most appropriate to use in reporting the length of the course?,8,,Test
D,MEAP_2005-W_8_36,low relative humidity,increasing air pressure,fog formation at ground level,ground temperature below 0°C,Use the information below to answer the question. {img:images/StatesDMC-DA/8thGr/MEAP/MEAP_8_2005-W_2.png} Emmett has entered a ski competition held on Big Powderhorn Mountain. He must ski around four markers and cross a finish line at the bottom of the slope. He hopes to beat the record time on this course of 1 minute and 13 seconds (1:13). Suppose it is snowing on Big Powderhorn Mountain. Which of the following conditions is necessary in order for the falling snow to accumulate on the ski slope?,8,,Test
C,NAEP_2000_8_S11+1,240 feet,250 feet,280 feet,300 feet,"The following question refers to the topographic map below, which shows Willow Hill (elevation 312 feet) and Hobbes Creek. On the map, each contour line represents 20 feet of elevation. {img:images/naep/2000-8S/2000-8S11-1.MC.2000-8S11-1.QuestionImage1.jpg} What is the elevation at point X ?",8,,Test
B,NAEP_2000_8_S11+3,North side,East side,South side,West side,"The following question refers to the topographic map below, which shows Willow Hill (elevation 312 feet) and Hobbes Creek. On the map, each contour line represents 20 feet of elevation. {img:images/naep/2000-8S/2000-8S11-3.MC.2000-8S11-3.QuestionImage1.jpg} Which side of Willow Hill has the most gradual slope?",8,,Test
A,NAEP_2005_8_S11+10,{img:images/naep/2005-8S/2005-8S11-10.MC.image0021.jpg},{img:images/naep/2005-8S/2005-8S11-10.MC.image004.jpg},{img:images/naep/2005-8S/2005-8S11-10.MC.image006.jpg},{img:images/naep/2005-8S/2005-8S11-10.MC.image008.jpg},Each diagram below shows the same front view of a human heart. Which diagram has arrows that correctly show the path of blood flow through the heart and the blood vessels leading to and from the heart?,8,,Test
B,NAEP_2005_8_S11+2,and 6,2 and 5,3 and,"4. 1, 2, and 3",{img:images/naep/2005-8S/2005-8S11-2.MC.image0021.jpg} Which zones in the map above are most likely to have a temperate climate (warm summers and cold winters) ? 1.,8,,Test
C,NAEP_2005_8_S11+4,{img:images/naep/2005-8S/2005-8S11-4.MC.image0021.jpg},{img:images/naep/2005-8S/2005-8S11-4.MC.image004.jpg},{img:images/naep/2005-8S/2005-8S11-4.MC.image006.jpg},{img:images/naep/2005-8S/2005-8S11-4.MC.image008.jpg},"Each figure below shows a force measured in newtons pushing on a block. If there are no other forces pushing on the block, in which case is the acceleration of the block greatest?",8,,Test
C,NAEP_2005_8_S11+8,7 only,5 and 6 only,"2, 3, and","only 4. 2, 5, and 7 only",{img:images/naep/2005-8S/2005-8S11-8.MC.image0021.jpg} The diagram above shows a food web in a large park. Each circle represents a different species in the food web. Which of the organisms in the food web could be referred to as primary consumers?,8,,Test
C,NAEP_2005_8_S13+15,,point B,point C,point D,"{img:images/naep/2005-8S/2005-8S13-15.MC.image0021.jpg} Two identical cars travel at 45 miles per hour toward the center of the intersection (point A, as shown above) with equal force. The cars collide at the intersection. If after they collide the cars stick to each other and move together, they will come to rest closest to 1. point",8,,Test
D,NAEP_2005_8_S14+1,{img:images/naep/2005-8S/2005-8S14-1.MC.image0021.jpg},{img:images/naep/2005-8S/2005-8S14-1.MC.image004.jpg},{img:images/naep/2005-8S/2005-8S14-1.MC.image006.jpg},{img:images/naep/2005-8S/2005-8S14-1.MC.image008.jpg},"Julio wanted to know how his pulse rate changed when he ran very fast. He measured his pulse rate before he started running, while he was running, and two minutes after he stopped running. Which graph best shows how Julio's pulse rate changed?",8,,Test
A,NAEP_2005_8_S14+11,Producer,Primary consumer,Secondary consumer,Decomposer,The following questionSarah looked at some pond water with a microscope. She used the low-power objective lens to look at some green algae. The picture below shows what Sarah saw through the microscope. {img:images/naep/2005-8S/2005-8S14-11.MC.image0021.jpg} What is the role of the pond organisms that Sarah saw in her field of view?,8,,Test
C,NAEP_2011_8_S11+1,Volcanoes erupt periodically.,The Tibetan Plateau slowly sinks.,The Himalayas increase in height each year.,Glaciers on the Tibetan Plateau melt.,The diagram below shows the collision of two tectonic plates in Asia. {img:images/naep/2011-8S/2011-8S11-VC211159_g01.png} What is a result of this collision?,8,,Test
B,NAEP_2011_8_S11+4,Chlorine (Cl),Helium (He),Nitrogen (N),Zinc (Zn),"{img:images/naep/2011-8S/2011-8S11-VC641157_g02.png} Based on its location on the partial periodic table shown above, which element would you predict has chemical properties that are most similar to argon (Ar)?",8,,Test
C,NYSEDREGENTS_2008_8_1,They carry out photosynthesis.,They are multicellular.,They contain at least one cell.,They are consumers.,Four different living organisms are shown below. {img:images/NYSEDREGENTS/2008_8th_Grade/01.PNG} Which statement is true for all of the organisms shown?,8,,Test
B,NYSEDREGENTS_2008_8_13,provide protection for the embryo,provide nutrients for the embryo,prevent mutations in the plant,fight off infections in the plant,The diagram below shows a cross section of a bean seed. {img:images/NYSEDREGENTS/2008_8th_Grade/05.PNG} The function of part X in the bean seed is to,8,,Test
D,NYSEDREGENTS_2008_8_19,circulation,reproduction,locomotion,respiration,Which life process is shown by the equation below? {img:images/NYSEDREGENTS/2008_8th_Grade/06.PNG},8,,Test
B,NYSEDREGENTS_2008_8_20,{img:images/NYSEDREGENTS/2008_8th_Grade/07.PNG},{img:images/NYSEDREGENTS/2008_8th_Grade/08.PNG},{img:images/NYSEDREGENTS/2008_8th_Grade/09.PNG},{img:images/NYSEDREGENTS/2008_8th_Grade/10.PNG},Which diagram below represents one type of human tissue? (The diagrams are not drawn to scale.),8,,Test
D,NYSEDREGENTS_2008_8_21,evolution,migration,photosynthesis,metamorphosis,Which process is shown in the diagram below? {img:images/NYSEDREGENTS/2008_8th_Grade/11.PNG},8,,Test
D,NYSEDREGENTS_2008_8_22,rabbits and birds,carrots and grasses,grasshoppers and mice,foxes and owls,The diagram below shows a food web for a community. {img:images/NYSEDREGENTS/2008_8th_Grade/12.PNG} Which organisms in the diagram are carnivores?,8,,Test
D,NYSEDREGENTS_2008_8_23,carbon dioxide,nitrogen,oxygen,water,The diagram below shows a material being cycled between the living and nonliving environments. {img:images/NYSEDREGENTS/2008_8th_Grade/13.PNG} Which material is being cycled?,8,,Test
D,NYSEDREGENTS_2008_8_3,"same kingdom, different species","same kingdom, same species","different kingdoms, same species","different kingdoms, different species",The diagrams below show two organisms. {img:images/NYSEDREGENTS/2008_8th_Grade/02.PNG} How are these two organisms classified?,8,,Test
C,NYSEDREGENTS_2008_8_31,mass,density,volume,hardness,The diagram below shows a rock suspended above an overflow container filled with water up to the overflow spout. A graduated cylinder is positioned next to the container to collect water that comes out of the overflow spout. {img:images/NYSEDREGENTS/2008_8th_Grade/14.PNG} Which property of the rock can be directly determined when the rock is placed in the overflow container?,8,,Test
B,NYSEDREGENTS_2008_8_35,-30°C,-10°C,0°C,18°C,The graph below shows the heating curve for substance X. {img:images/NYSEDREGENTS/2008_8th_Grade/15.PNG} At approximately which temperature does a phase change begin?,8,,Test
D,NYSEDREGENTS_2008_8_38,turn into a solid,become more dense,move into the flask,rise higher in the tube,"The diagram below shows water being heated in a flask. The flask has a rubber stopper with a glass tube extending through it. The current level of the water in the glass tube is indicated. The temperature of the water is 25°C. {img:images/NYSEDREGENTS/2008_8th_Grade/16.PNG} If heating continues, the water in the glass tube will most likely",8,,Test
B,NYSEDREGENTS_2008_8_39,absorption,refraction,convection,reflection,The diagram below shows a metal spoon in a glass of water. {img:images/NYSEDREGENTS/2008_8th_Grade/17.PNG} Which process causes the metal spoon to appear split or broken?,8,,Test
B,NYSEDREGENTS_2008_8_40,{img:images/NYSEDREGENTS/2008_8th_Grade/19.PNG},{img:images/NYSEDREGENTS/2008_8th_Grade/20.PNG},{img:images/NYSEDREGENTS/2008_8th_Grade/21.PNG},{img:images/NYSEDREGENTS/2008_8th_Grade/22.PNG},The diagram below shows a model of a sample of gas particles at room temperature. {img:images/NYSEDREGENTS/2008_8th_Grade/18.PNG} Which diagram best shows the results of removing heat from this sample until it freezes?,8,,Test
A,NYSEDREGENTS_2008_8_41,Every action has an equal and opposite reaction.,Solid substances are usually more dense than liquid substances.,Energy is released when water condenses.,Most substances expand when heated and contract when cooled.,The diagram below shows a spinning water sprinkler. Water comes through a hose and is sprayed by the sprinkler. {img:images/NYSEDREGENTS/2008_8th_Grade/23.PNG} Which principle best explains why the sprinkler spins?,8,,Test
C,NYSEDREGENTS_2008_8_43,wheel and axle,inclined plane,lever,pulley,The diagram below shows a hammer being used by a person to remove a nail from a piece of wood. {img:images/NYSEDREGENTS/2008_8th_Grade/24.PNG} The hammer is being used as which type of simple machine?,8,,Test
A,NYSEDREGENTS_2008_8_44,brain weight,head size,height,total body weight,"The data table below shows changes in four different measurements as a human develops from birth to adulthood. Each measurement is expressed as a percentage of the adult value. {img:images/NYSEDREGENTS/2008_8th_Grade/25.PNG} According to the table, which measurement shows the greatest percentage increase from birth to age 5?",8,,Test
B,NYSEDREGENTS_2008_8_45,2010,2062,2086,2110,The diagram below shows the orbit of Halley's Comet around the Sun as viewed from space. Earth's orbit is also shown. {img:images/NYSEDREGENTS/2008_8th_Grade/26.PNG} The only years shown in which Halley's Comet could be viewed from Earth without the use of a telescope were 1910 and 1986. What is the next year in which Halley's Comet will be visible from the Earth without the use of a telescope?,8,,Test
A,NYSEDREGENTS_2008_8_6,reproduction,release of minerals,absorption of water,support,The diagram below shows a green plant. {img:images/NYSEDREGENTS/2008_8th_Grade/03.PNG} What is the main function of the plant structure labeled A?,8,,Test
D,NYSEDREGENTS_2008_8_8,egg cells,sperm cells,reproductive hormones,specific genes,"The drawing below represents a pair of chromosomes. {img:images/NYSEDREGENTS/2008_8th_Grade/04.PNG} The area labeled ""bands"" shows the location of",8,,Test
C,NYSEDREGENTS_2010_8_1,12,65,110,250,"The label below shows the nutritional information for one serving of macaroni and cheese. {img:images/NYSEDREGENTS/2010_8th_Grade/01.PNG} In one serving of this macaroni and cheese, how many Calories come from fat?",8,,Test
A,NYSEDREGENTS_2010_8_10,A,B,C,D,"Base your answers on the diagram of a green plant below and on your knowledge of science. Four parts of the plant are labeled A, B, C, and D. {img:images/NYSEDREGENTS/2010_8th_Grade/05.PNG} Which part of the plant is directly involved in sexual reproduction?",8,,Test
B,NYSEDREGENTS_2010_8_11,A,B,C,D,"Base your answers on the diagram of a green plant below and on your knowledge of science. Four parts of the plant are labeled A, B, C, and D. {img:images/NYSEDREGENTS/2010_8th_Grade/05.PNG} In which part of the plant does most photosynthesis occur?",8,,Test
D,NYSEDREGENTS_2010_8_19,1,2,3,4,Base your answers on the diagram and table below and on your knowledge of science. The diagram shows a lab dish containing organisms collected at the edge of a forest. {img:images/NYSEDREGENTS/2010_8th_Grade/06.PNG} The table identifies several organisms based on their characteristics. {img:images/NYSEDREGENTS/2010_8th_Grade/07.PNG} How many of the organisms in the lab dish are insects?,8,,Test
D,NYSEDREGENTS_2010_8_20,extinction,metabolism,asexual reproduction,biological adaptation,"Base your answers on the diagram and table below and on your knowledge of science. The diagram shows a lab dish containing organisms collected at the edge of a forest. {img:images/NYSEDREGENTS/2010_8th_Grade/06.PNG} The table identifies several organisms based on their characteristics. {img:images/NYSEDREGENTS/2010_8th_Grade/07.PNG} Over time, these organisms evolved from a common ancestor. Which process best explains why they now have different characteristics?",8,,Test
B,NYSEDREGENTS_2010_8_21,chloroplasts,cells,wings,antennae,"Base your answers on the diagram and table below and on your knowledge of science. The diagram shows a lab dish containing organisms collected at the edge of a forest. {img:images/NYSEDREGENTS/2010_8th_Grade/06.PNG} The table identifies several organisms based on their characteristics. {img:images/NYSEDREGENTS/2010_8th_Grade/07.PNG} In all of these organisms, which microscopic structures carry out the major life functions?",8,,Test
D,NYSEDREGENTS_2010_8_22,A,B,C,D,"The diagram below shows a cross section of a portion of Earth's crust that has not been overturned. Letters A, B, C, and D represent sedimentary rock layers that contain fossils. {img:images/NYSEDREGENTS/2010_8th_Grade/08.PNG} Which rock layer contains the oldest fossils?",8,,Test
B,NYSEDREGENTS_2010_8_23,circulates gases,maintains equilibrium,destroys viruses,transports nutrients,Insulin and glucagon are hormones that affect blood sugar levels. The diagram below shows the feedback system used by the human body to increase and decrease blood sugar levels. {img:images/NYSEDREGENTS/2010_8th_Grade/09.PNG} This feedback system is one way that the human body,8,,Test
A,NYSEDREGENTS_2010_8_24,plant,water,snail,rock,The diagram below shows several organisms in a fish tank. {img:images/NYSEDREGENTS/2010_8th_Grade/10.PNG} Which item in the tank produces oxygen?,8,,Test
D,NYSEDREGENTS_2010_8_25,an element,an igneous rock,a fault,a fossil,The sequence below occurs over a long period of geologic time. {img:images/NYSEDREGENTS/2010_8th_Grade/11.PNG} The sequence shows the steps involved in the formation of,8,,Test
C,NYSEDREGENTS_2010_8_26,110,500,610,1510,"The diagram below shows a triple-beam balance. {img:images/NYSEDREGENTS/2010_8th_Grade/12.PNG} What is the maximum mass, in grams, that could be measured by this balance?",8,,Test
C,NYSEDREGENTS_2010_8_29,Earth's rotation,the Sun's rotation,Earth's revolution,the Sun's revolution,The diagram below shows Earth at four locations in its orbit around the Sun. {img:images/NYSEDREGENTS/2010_8th_Grade/13.PNG} Which motion do the arrows in the diagram represent?,8,,Test
B,NYSEDREGENTS_2010_8_3,20,40,50,60,The graph below represents the relationship between the amount of spring rainfall recorded at a pond and the number of frogs in that pond. The data were collected over five spring seasons. {img:images/NYSEDREGENTS/2010_8th_Grade/02.PNG} What is the difference between the number of frogs in the pond when the rainfall was 5 cm and when the rainfall was 20 cm?,8,,Test
D,NYSEDREGENTS_2010_8_33,cooling,folding,melting,weathering,The diagram below shows a portion of Earth's crust. {img:images/NYSEDREGENTS/2010_8th_Grade/14.PNG} The formation of the rock fragments was most likely a result of,8,,Test
B,NYSEDREGENTS_2010_8_36,are metals,react in similar ways,have the same atomic mass,are noble gases,"Base your answers on the portion of the Periodic Table of the Elements shown below and on your knowledge of science. {img:images/NYSEDREGENTS/2010_8th_Grade/15.PNG} The elements fluorine, chlorine, bromine, and iodine are all found in the same group (17) on the table. These elements are grouped together because they",8,,Test
D,NYSEDREGENTS_2010_8_37,an atom,a liquid,a mixture,a compound,Base your answers on the portion of the Periodic Table of the Elements shown below and on your knowledge of science. {img:images/NYSEDREGENTS/2010_8th_Grade/15.PNG} Water (H2O) is not found on the Periodic Table of the Elements because water is,8,,Test
A,NYSEDREGENTS_2010_8_38,refraction,reflection,absorption,emission,The diagram below shows what occurs when a ray of light strikes and enters a pond. {img:images/NYSEDREGENTS/2010_8th_Grade/16.PNG} Which property of light is illustrated when the ray enters the pond?,8,,Test
A,NYSEDREGENTS_2010_8_4,"Over time, one natural area is replaced by another.","Over time, the number of fish increases.",The environment goes through seasonal changes.,Precipitation follows cloud formation.,The diagram below shows a sequence of environmental changes in an area over a long period of time. {img:images/NYSEDREGENTS/2010_8th_Grade/03.PNG} Which statement best describes the changes shown in the diagram?,8,,Test
C,NYSEDREGENTS_2010_8_40,heated water,heated air,sunlight,water pump,The diagram below shows a home with a solar heating system. {img:images/NYSEDREGENTS/2010_8th_Grade/17.PNG} What is the original source of energy for this heating system?,8,,Test
D,NYSEDREGENTS_2010_8_43,air humidity,air pressure,wind direction,wind speed,The diagram below shows a weather instrument. {img:images/NYSEDREGENTS/2010_8th_Grade/18.PNG} Which weather condition is measured by this instrument?,8,,Test
D,NYSEDREGENTS_2010_8_44,mass of the box,distance traveled by the box,force of gravity,force of friction,The diagrams below show two ways of loading a box into a truck. {img:images/NYSEDREGENTS/2010_8th_Grade/19.PNG} The person using the track with the rollers uses less energy to load the box because the rollers reduce the,8,,Test
C,NYSEDREGENTS_2010_8_45,35,36,37,43,"The map below shows the total rainfall, in inches, for parts of New York State, Vermont, and New Hampshire over one year. The numbered dark lines connect locations with the same amount of total rainfall. State boundaries are indicated by {img:images/NYSEDREGENTS/2010_8th_Grade/50.PNG}. {img:images/NYSEDREGENTS/2010_8th_Grade/20.PNG} What was the probable amount of rainfall, in inches, for Waterbury, Vermont, for that year?",8,,Test
B,NYSEDREGENTS_2010_8_5,Theodont,Tyrannosaurus,Triceratops,Camptosaurus,The chart below shows the inferred evolution of some dinosaurs during three time periods in Earth's history. {img:images/NYSEDREGENTS/2010_8th_Grade/04.PNG} Which dinosaur most likely evolved from Coelophysis?,8,,Test
C,NYSEDREGENTS_2012_8_1,20°F,71°F,106°F,113°F,"The data table below shows apparent air temperature in degrees Fahrenheit (°F). Apparent air temperature is how hot the air feels at different air temperatures and different relative humidities. {img:images/NYSEDREGENTS/2012_8th_Grade/01.PNG} If the air temperature is 90°F and the relative humidity is 70%, the apparent air temperature is",8,,Test
C,NYSEDREGENTS_2012_8_10,transporting blood,producing sex cells,removing wastes,breaking down food,The diagram below shows part of the human excretory system. {img:images/NYSEDREGENTS/2012_8th_Grade/06.PNG} The structures shown are primarily involved in,8,,Test
A,NYSEDREGENTS_2012_8_2,serve as the control container,serve as the experimental container,show that seeds do not give off oxygen,show that seeds do not give off carbon dioxide,"A student set up the experiment shown below to determine if radish seeds take in oxygen as they germinate. Methylene blue is a chemical that is blue when oxygen is present, but is colorless when oxygen is not present. Containers A and B each contained 200 mL of water and 10 drops of methylene blue. Ten radish seeds were added to container A. Container B had no radish seeds. {img:images/NYSEDREGENTS/2012_8th_Grade/02.PNG} The purpose of container B in this experiment is to",8,,Test
B,NYSEDREGENTS_2012_8_20,Plants are eaten by animals for food.,Carbon dioxide and water are used to make sugar.,Plants release water into the soil.,Animals breathe out carbon dioxide.,The flowchart below represents the process of photosynthesis. One step in the process is labeled X. {img:images/NYSEDREGENTS/2012_8th_Grade/07.PNG} Which activity occurs at X?,8,,Test
B,NYSEDREGENTS_2012_8_21,green plants,caterpillars,birds,snakes,The diagram below shows a food chain. {img:images/NYSEDREGENTS/2012_8th_Grade/08.PNG} Which organisms in this food chain are herbivores?,8,,Test
D,NYSEDREGENTS_2012_8_22,a community,an ecosystem,a habitat,a population,The diagram below shows several different organisms found in an area. {img:images/NYSEDREGENTS/2012_8th_Grade/09.PNG} The worms in the diagram represent,8,,Test
D,NYSEDREGENTS_2012_8_23,urban growth,global warming,environmental pollution,ecological succession,The diagram below shows how a plant community changed over 300 years. {img:images/NYSEDREGENTS/2012_8th_Grade/10.PNG} Which process caused the gradual changes shown in this plant community?,8,,Test
A,NYSEDREGENTS_2012_8_24,{img:images/NYSEDREGENTS/2012_8th_Grade/50.PNG},{img:images/NYSEDREGENTS/2012_8th_Grade/51.PNG},{img:images/NYSEDREGENTS/2012_8th_Grade/52.PNG},{img:images/NYSEDREGENTS/2012_8th_Grade/53.PNG},Which diagram best represents light being reflected after striking the flat surface of a mirror?,8,,Test
C,NYSEDREGENTS_2012_8_25,a meteor shower,a change of seasons,an eclipse,an earthquake,"The diagram below shows the positions of the Sun, Earth, and the Moon as seen from space. {img:images/NYSEDREGENTS/2012_8th_Grade/12.PNG} Which event is caused by the Moon passing through Earth's shadow?",8,,Test
C,NYSEDREGENTS_2012_8_29,"a different volume, but the same shape",a different volume and a different shape,"the same volume, but a different shape",the same volume and the same shape,"All of the liquid from a test tube is poured into a beaker, as shown in the diagram below. {img:images/NYSEDREGENTS/2012_8th_Grade/13.PNG} Compared to the liquid that was in the test tube, the liquid in the beaker has",8,,Test
A,NYSEDREGENTS_2012_8_33,warn residents of hazardous weather conditions,explain the effects of global warming on the ocean currents,predict the times of high tide and low tide,predict the total number of storms to occur in one year,The photograph below shows a satellite image of a hurricane. {img:images/NYSEDREGENTS/2012_8th_Grade/14.PNG} A satellite image of a hurricane helps weather forecasters to,8,,Test
B,NYSEDREGENTS_2012_8_34,air temperature,air pressure,relative humidity,amount of cloud coverage,Base your answers on the weather map below and on your knowledge of science. The center of a storm system (Low) over part of the United States and the frontal boundaries associated with this system are shown. Point A represents a location on the map. {img:images/NYSEDREGENTS/2012_8th_Grade/15.PNG} The word Low on the map refers to,8,,Test
D,NYSEDREGENTS_2012_8_35,on a cold ocean surface,on a warm land surface,near the cold front,near the warm front,Base your answers on the weather map below and on your knowledge of science. The center of a storm system (Low) over part of the United States and the frontal boundaries associated with this system are shown. Point A represents a location on the map. {img:images/NYSEDREGENTS/2012_8th_Grade/15.PNG} Precipitation is most likely occurring at A because it is located,8,,Test
A,NYSEDREGENTS_2012_8_36,northeast,southeast,northwest,southwest,Base your answers on the weather map below and on your knowledge of science. The center of a storm system (Low) over part of the United States and the frontal boundaries associated with this system are shown. Point A represents a location on the map. {img:images/NYSEDREGENTS/2012_8th_Grade/15.PNG} In which compass direction will the storm center (Low) most likely move over the next few days if it follows a typical storm track?,8,,Test
C,NYSEDREGENTS_2012_8_37,{img:images/NYSEDREGENTS/2012_8th_Grade/17.PNG},{img:images/NYSEDREGENTS/2012_8th_Grade/18.PNG},{img:images/NYSEDREGENTS/2012_8th_Grade/19.PNG},{img:images/NYSEDREGENTS/2012_8th_Grade/20.PNG},The photograph below shows a phase of the Moon as seen by an observer in New York State. {img:images/NYSEDREGENTS/2012_8th_Grade/16.PNG} Which phase is closest to what will be seen by the observer in New York State 1 month later?,8,,Test
C,NYSEDREGENTS_2012_8_38,39 inches,40 inches,41 inches,42 inches,"Base your answers to questions on the field map below, which shows average yearly snowfall in the state of Pennsylvania. The solid lines represent amounts of snowfall in inches. Point X represents a location on the map. {img:images/NYSEDREGENTS/2012_8th_Grade/21.PNG} Approximately how much snow falls in an average year at location X?",8,,Test
B,NYSEDREGENTS_2012_8_39,northern,eastern,southern,western,"Base your answers to questions on the field map below, which shows average yearly snowfall in the state of Pennsylvania. The solid lines represent amounts of snowfall in inches. Point X represents a location on the map. {img:images/NYSEDREGENTS/2012_8th_Grade/21.PNG} Which part of Pennsylvania has the greatest average yearly snowfall?",8,,Test
